proteinID	geneID	uniprot	protein_name	gene_name
HS06761-MONOMER	HS06761	P17735	Tyrosine aminotransferase	L-tyrosine:2-oxoglutarate aminotransferase, TAT
EG10857-MONOMER	EG10857	P0A7Y0	RNase III	RanA, Rnc
MONOMER-21218	G-80735		3-oxo-23,24-bisnorchol-4,17(20)-dien-22-oyl-CoA hydratase &alpha; subunit	
MONOMER-13580	G-10351		germacrene B synthase	Sesquiterpene synthase 2, SSTLH2
HS15203-MONOMER	HS15203	Q86YH6	decaprenyl-diphosphate synthase subunit 2	decaprenyl diphosphate synthase subunit 2, candidate tumor suppressor protein, decaprenyl pyrophosphate synthetase subunit 2
SAPC-MONOMER	G2000	P0AGH5	putrescine ABC exporter membrane protein SapC	
MONOMER-16553	G-12803	P84888	aralkylamine dehydrogenase heavy chain	AauB
MONOMER-14074	G-10750	Q9M602	furaneol <i>O</i>-methyltransferase monomer	
AT3G26650-MONOMER	AT3G26650	P25856	chloroplastic glyceraldehyde 3-phosphate dehydrogenase A	GAPDH, GapA
TX72_RS07385-MONOMER	TX72_RS07385	Q7U669	photosystem II protein D1:1	PsbA
MONOMER-19173	G-43893	A7YF23	carotenoid 4-hydroxy-&beta;-ring 4-dehydrogenase	
MONOMER-17076	G-14879	Q53712	glucosyl-oleandomycin-exporting ATPase	OleB
EG12373-MONOMER	EG12373	P0ADR8	nucleotide 5'-monophosphate nucleosidase	PpnN, YgdH
MONOMER-21595	G-81116	G3XGB0	UDP-Gal:&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &alpha;-(1,6)-galactosyltransferase	WbaT
MONOMER-19559	G-44261	O94088	trichothecene C-3 esterase	
MONOMER-11345				
G6359-MONOMER	G6359	P37902	glutamate/aspartate ABC transporter periplasmic binding protein	YzzK, YbeJ, GltBP
FWDAMAUTO-MONOMER	G-348		FwdA protein	FwdA
MONOMER-324	G-525	O33455		CymC
MONOMER-14556	G-11127	Q41461		K+ channel inward rectifying, KST1
MONOMER-12020	G-9312	P48418	flavonoid 3',5'-hydroxylase	
YLR174W-MONOMER	YLR174W	P41939	NADP-dependent isocitrate dehydrogenase	
MONOMER-17526				
MONOMER-15115	G-11550	Q7WYU8	3-<i>O</i>-methylgallate 3,4-dioxygenase	DesZ
MONOMER-19973	G-44673	O50608	teichoic acid D-alanine esterase	FmtA
MONOMER-17964	G-15957	Q7X8Q2	isoamylase catalytic subunit	
GAPDH-A-MONOMER	EG10367	P0A9B2	glyceraldehyde-3-phosphate dehydrogenase A	Gad, GapA, Gap1
G3O-29201-MONOMER	G3O-29201	P38149	Deficient in Utilization of Glutathione	
AT5G53850-MONOMER	AT5G53850		dehydratase-enolase-phosphatase	dehydratase-enolase-phosphatase complex 1
MONOMER-5701	G-4321	Q53688		TreY, glycosyltrehalose-producing enzyme
MONOMER-20375	G-58163	Q15I90		CrtW, 4,(4')-&beta;-ionone ring ketolase
MONOMER-12590	G-9663		(9Z,12E)-octadecadienoyl-lipid 9-hydroxylase	
HS01416-MONOMER	HS01416	Q9UHK6	&alpha;-methylacyl-CoA racemase	2-methylacyl-CoA racemase
MONOMER-8605	G-54986	F0KFI7	carnitine monooxygenase &beta; subunit	YeaX
MONOMER-15662	G-12031	P15922	exopolygalacturonan hydrolase X	
MONOMER-13112				
MONOMER66-43822	G66-47246	A4D126	D-ribitol-5-phosphate cytidylyltransferase	isoprenoid synthase domain-containing protein
MONOMER-18370	G-17869	Q83WF4	MycCII ferredoxin subunit	
MONOMER-16080	G-12386	Q56164	jadomycin polyketide synthase chain length determinant JadB	JadB
CELC-MONOMER	EG10142	P69791	<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component	CelC, EIIA<sup>chb</sup>, Enzyme IIA<sup>chb</sup>, EIII<sup>chb</sup>, Enzyme III<sup>chb</sup>
AT1G32900-MONOMER	AT1G32900		granule-bound starch synthase I	
MONOMER-20783	G-63042	A0A023J9D7	trienomycin synthase	
MONOMER-18765	G-34474	B9WZX4	fumitremorgin C synthase	FtmE
HS06563-MONOMER	HS06563	Q16836	short-chain 3-hydroxyacyl-CoA dehydrogenase monomer	HCDH, medium and short chain L-3-hydroxyacyl-coenzyme A dehydrogenase, hydroxyacyl-coenzyme A dehydrogenase, mitochondrial, SCHAD
EG10826-MONOMER	EG10826	P04993	exodeoxyribonuclease V subunit RecD	HopE, RecD
MONOMER-21203	G-80720		&alpha;-methylacyl-CoA racemase	
MONOMER-13564	G-10335	Q936S9	cytochrome P450	IpuD
HS13481-MONOMER	HS00041	P42356	phosphatidylinositol 4 kinase alpha	
ROCFBACSU-MONOMER	G-288			RocF
MONOMER-16531			tetrahymanol synthase	
MONOMER-14050	G-10737	Q9RRD7	glutamyl-tRNA<sup>Gln</sup> amidotransferase subunit B	GatB
AT3G23490-MONOMER	AT3G23490	O22683	cyanase	cyanate lyase, cyanate hydrolase
TX72_RS01345-MONOMER	TX72_RS01345	Q7U9I7	photosystem II reaction center protein PsbH	PsbH
MONOMER-19157	G-43882	Q4G2T3	sphingolipid 10-desaturase	DesA
MONOMER-17060	G-14863	O68843	glucosyl-oleandomycin glucohydrolase	OleR
EG12285-MONOMER	EG12285	P37678	3-keto-L-gulonate-6-phosphate decarboxylase SgbH	YiaQ, SgbH
MONOMER-21579	G-81100	Q93CS6	UDP-Gal:&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &alpha;-(1,6)-galactosyltransferase	WbaT
MONOMER-19542	G-10168		acyl coenzyme A: isopenicillin <i>N</i> acyltransferase &beta; subunit	
MONOMER-11204	G-8723	O97438	carbamate kinase subunit	
G6278-MONOMER	G6278	P77161	tartronate semialdehyde reductase 2	YbbQ, GlxR
FRVB-MONOMER	EG11863	P32154	putative PTS enzyme IIBC component FrvB	FrvB, YiiJ
MONOMER-3183	G-2283	Q93PS9		PmdE, &gamma;-oxalomesaconate hydratase, 4-oxalomesaconate hydratase
MONOMER-14540	G-11111	Q50565	carbonic anhydrase subunit	Cab
MONOMER-12004	G-55016	A0A0B4ZTQ2	2-acyl-4-prenylphloroglucinol 6-prenyltransferase	
YLIB-MONOMER	G6430	P75797	glutathione ABC transporter periplasmic binding protein	GsiB, YliB
MONOMER-17509				
MONOMER-15094	G-11530	P93083		tryptophan decarboxylase
MONOMER-19956	G-44656	Q9R5L1	dTDP-D-glucose 4,6-dehydratase monomer	DnmM
MONOMER-17948	G-15941	Q9WYP5		IolG
G7925-MONOMER	G7925	P39377	isoaspartyl dipeptidase	YjiF, IadA
G2T-7804-MONOMER	G2T-7804		HORVU1Hr1G007720	
AT5G49190-MONOMER	AT5G49190		sucrose synthase	
MONOMER-545	G-197	P75476		PfkA
MONOMER-20359	G-58147	Q8KDS7	hydroxychlorobactene glucoside lauroyltransferase	CruD, chlorobactene lauroyltransferase
MONOMER-12569				
HS01167-MONOMER	HS01167	P24752	acetyl-CoA acetyltransferase monomer	acetoacetyl-coenzyme A thiolase, acetoacetyl-CoA thiolase, acetyl-Coenzyme A acetyltransferase 1
MONOMER-8566	G-12146	B0F481	7,8-diaminopelargonic acid aminotransferase	BioI, BioA
MONOMER-15644	G-12013	P45416		KdgK
MONOMER-13086	G-9968	P14611	acetyl-CoA acetyltransferase subunit	PhbA
MONOMER-18350	G-17850	G5DGA8		
MONOMER-16064	G-12369	Q1W3E6	SoxB	
CARBOXYL-TRANSFERASE-ALPHA-MONOMER	EG11647	P0ABD5	acetyl-CoA carboxyltransferase subunit &alpha;	AccA
AT1G24360-MONOMER	AT1G24360	P33207	3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic	
MONOMER-20766	G-63023	H9TE99	ansamycin polyketide synthase MycD2	
MONOMER-18749	G-27217	P02879	ricin precursor	
HS06393-MONOMER	HS06393	Q9Y6N5	sulfide quinone oxidoreductase	
EG10746-MONOMER	EG10746	P00582	DNA polymerase I	ResA, PolA, DNA polymerase I, 5' --> 3' polymerase, 5' --> 3' and 3' --> 5' exonuclease
MONOMER66-34409	G66-37885	Q92523	carnitine O-palmitoyltransferase 1, muscle isoform	
MONOMER-21185	G-80704	Q0K1W5	2-carboxy-L-lyxonolactone hydrolase	ClxL
MONOMER-13547	G-10318	Q94JS8	(<i>E</i>)-&beta;-farnesene synthase	
HS12080-MONOMER	HS12080	Q9P2E5	chondroitin sulfate glucuronyltransferase	chondroitin glucuronyltransferase II, CSGlcA-T, <i>N</i>-acetylgalactosaminyl-proteoglycan 3-&beta;-glucuronosyltransferase
RHTB-MONOMER	EG11469	P0AG34	L-homoserine/L-homoserine lactone/L-threonine exporter	YigK, RhtB
MONOMER-16515	G-12778	Q52VH2	&beta;-peptidyl aminopeptidase proprotein	BapA
MONOMER-14032	G-10720	P87017	hydroxyaverantin dehydrogenase subunit	AflH, AdhA
AT3G19450-MONOMER	AT3G19450	P48523	cinnamyl alcohol dehydrogenase 4	coniferyl alcohol dehydrogenase, sinapyl alcohol dehydrogenase, 4-coumaryl alcohol dehydrogenase, cinnamyl alcohol dehydrogenase C
MONOMER-19138			nitrite-eliminating enzyme	
MONOMER-17041	G-14848	B1XMM6	succinate-semialdehyde dehydrogenase	
EG12233-MONOMER	EG12233	P68567	16S rRNA m<sup>2</sup>G1516 methyltransferase	RsmJ, YhiQ
MONOMER-21555	G-81076	B5L3F2	UDP-Glc:&alpha;-D-GlcNAc-diphosphoundecaprenol &beta;-1,3-glucosyltransferase WfgD	WfgD
MONOMER-19518	G-44222	A0A0A8J686	diacetamido-8-epilegionaminic acid cytidylyl transferase	
MONOMER-111			cytochrome <i>c</i> subunit	
G6174-MONOMER	G6174	P77212	cupric reductase RclA	RclA, YkgC, putative oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain; hypochlorite stress response, putative pyridine nucleotide-disulfide oxidoreductase RclA
FMDEMBARK-MONOMER	G-376		FmdE	FmdE
MONOMER-3093	G-2201		naphthalene 1,2-dioxygenase complex oxygenase component &alpha; subunit	
MONOMER-14522	G-11090	Q0P8U0	pseudaminic acid synthase	PseI
MONOMER-11981				
YKL029C-MONOMER	YKL029C	P36013	NAD-dependent malic enzyme, mitochondrial	
MONOMER-17489				
MONOMER-15074	G-11510	Q9I6M4	5-aminovalerate aminotransferase	DavT, GabT
MONOMER-19935	G-44634	L8EVJ1	tetracycline nonaketamide D-ring cyclase/dehydratase	OxyK
MONOMER-17922	G-15554	Q9SSZ7	flavonoid peroxidase 3	
G7845-MONOMER	G7845	P63177	23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase	RlmB, YjfH
G1I0R-1336-MONOMER	G1I0R-1336	Q2FYK7	fatty acid kinase FakB2	
AT5G44070-MONOMER	AT5G44070	Q9S7Z3	glutathione &gamma;-glutamylcysteinyltransferase 1	
MONOMER-535	G-187	Q50326	F<SUB>0</SUB> a chain	AtpB, membrane-bound ATP synthase, F0 sector, subunit a
MONOMER-20339			luciferase	
MONOMER-12544	G-9631	P26474	dissimilatory sulfite reductase &alpha; subunit	AsrA
HS00936-MONOMER	HS00936	Q14642	type I inositol-1,4,5-trisphosphate 5-phosphatase	5PTASE, inositol polyphosphate-5-phosphatase, 40kDa, inositol polyphosphate-5-phosphatase, 40kD, inositol trisphosphate-5-phosphatase, 40kD
MONOMER-8481		Q7M0P9	L-carnitine dehydrogenase subunit	
MONOMER-15625	G-11995	Q6FFQ1	5-dehydro-4-deoxyglucarate dehydratase subunit	KdgD
MONOMER-13069	G-9951	Q5VJ89	soluble butane monooxygenase hydroxylase component &beta; subunit	BmoY
MONOMER-18333	G-17834	S6AU36	2-methyl-4-hydroxy-quinoline farnesyltransferase	RauB
MONOMER-16047	G-12352	O87900	DsrM	
BSU39740-MONOMER	BSU39740	P42414	5-dehydro-2-deoxy-D-gluconate kinase	YxdC, IolC, 2-deoxy-5-keto-D-gluconic acid kinase
AT1G19640-MONOMER	AT1G19640		S-adenosyl L-methionine:jasmonic acid carboxyl methyltransferase	
MONOMER-20750	G-63007	A0A0F7VLK9		
MONOMER-18731	G-27204	B7X4D9		
HS06090-MONOMER	HS06090	P10606	cytochrome c oxidase subunit 5B	cytochrome c oxidase polypeptide Vb
EG10696-MONOMER	EG10696	P04825	aminopeptidase N	PepN, &alpha;-aminoacylpeptide hydrolase
MONOMER4FS-5				
MONOMER-21169	G-80685	Q56863	CDP-6-deoxy-&alpha;-D-gulose dehydrogenase	WbcB
MONOMER-13520			ureidoglycolate urea-lyase subunit	
HS11585-MONOMER	HS11585	Q96HY7	probable 2-oxoglutarate dehydrogenase E1 component DHKTD1	dehydrogenase E1 and transketolase domain-containing protein 1
RHA1_RO10133-MONOMER	RHA1_RO10133		ethylbenzene dioxygenase alpha subunit	
MONOMER-16498	G-12762	O93785	&beta;-glucosidase Bgl2	Cel1a, BGLII
MONOMER-14012				
AT3G14940-MONOMER	AT3G14940	Q84VW9	phosphoenolpyruvate carboxylase	
MONOMER-19122	G-43855	D3G6S4	UDP-sugar pyrophosphorylase	
MONOMER-17023	G-14835		trimethylamine monooxygenase	Tmm, trimethylamine (TMA) monooxygenase
EG12133-MONOMER	EG12133	P37440	oxidoreductase UcpA	YfeF, UcpA
MONOMER-21539	G-81060	Q9S521	<i>Escherichia coli</i> O:111 antigen polymerase monomer	O111 family O-antigen polymerase
MONOMER-19501	G-44205	D6R245	3-hydroxy-D-kynurenine methyltransferase monomer	AcmI
MONOMER-11009			<i>N</i>-carbamoylsarcosine amidohydrolase subunit	
G3O-34321-MONOMER	G3O-34321	Q06598	arsenite:H<sup>+</sup> antiporter	
FEPD-MONOMER	EG10296	P23876	ferric enterobactin ABC transporter membrane subunit FebD	FepD
TREHALOSEPHOSPHASYN-MONOMER	EG11752	P31678		OtsP, OtsB
MONOMER-30	G-29	Q9I6J9	agmatine deiminase subunit	AguA
MONOMER-14495	G-11069	Q9SZC9		At4g33520
MONOMER-11931			flavanone 7-O-glucosyltransferase	
YJL130C-MONOMER	YJL130C	P07259	carbamoyl phosphate synthase/aspartate carbamoyltransferase	URA2 multifunctional protein
MONOMER-17466		Q6GZ04		
MONOMER-15055	G-11495	Q01109	<i>N</i>-acetyl-phophinothricin tripeptide acetyl hydrolase	Bah
MONOMER-19918	G-44617	P32277	RNA ligase 2	Rnl2
MONOMER-17901	G-15540	Q9LTX3	pyridoxine/pyridoxamine 5'-phosphate oxidase	
G7723-MONOMER	G7723	P0AC00	fructoselysine 6-phosphate deglycase	YhfN, FrlB
G1G01-46-MONOMER	G1G01-46	Q88RT4	cobalt-zinc-cadmium resistance protein	
AT5G38710-MONOMER	AT5G38710	Q6NKX1	proline dehydrogenase 2	
MONOMER-5223				
MONOMER-20321	G-55306	Q4KCY9	pyoluteorin polyketide synthase PltB	PltB
MONOMER-12514			flavonol 3-<i>O</i>-glucosyltransferase	
HS00728-MONOMER	HS00728	P24557	thromboxane-A synthase	cytochrome P450 5A1, TXA synthase, TXS
MONOMER-8381	G-6361	P26093	acid phosphomonoesterase	Hel, outer membrane lipoprotein <i>e</i> (P4), OMP P4
MONOMER-15601	G-11972	Q3ZFI7		
MONOMER-13052	G-125	O32755	glyceraldehyde-3-phosphate dehydrogenase subunit	Gap
MONOMER-18316	G-17817	Q4J8Z2	L-ornithine carbamoyltransferase	ArgF
MONOMER-16030				
BSU38160-MONOMER	BSU38160	P34956	cytochrome aa3-600 quinol oxidase (subunit I)	QoxB
AT1G14810-MONOMER	AT1G14810	Q8VYI4	aspartate semialdehyde dehydrogenase	
MONOMER-20734	G-62991	A0A286SC03	streptovaricin ring hydroxylase	
MONOMER-18715	G-27189	D7UTD1	fusicocca-2,10(14)-diene-8&beta;,16-diol dioxygenase	
HS05898-MONOMER	HS05898	P32019	type II inositol-1,4,5-trisphosphate 5-phosphatase	inositol polyphosphate-5-phosphatase, 75kDa, inositol polyphosphate-5-phosphatase, 75kD, 5PTASE
EG10624-MONOMER	EG10624	P06722	DNA mismatch repair protein MutH	Prv, MutR, MutH
MONOMER3O-702	YMR298W	Q03579	ceramide synthase LIP1 component	
MONOMER-21153	G-80669	J7RCN0		DrdA
MONOMER-13491	G-10276	Q41233		allinase, alliin lyase 2
HS11114-MONOMER	HS01069	P34896	serine hydroxymethyltransferase, cytosolic	cytoplasmic serine hydroxymethyltransferase, serine hydroxymethyltransferase 1 (soluble) isoform 1, serine hydroxymethyltransferase 1 (soluble), serine hydroxymethyltransferase, cytosolic, Glycine hydroxymethyltransferase, Serine methylase, SHMT
RFBX-MONOMER	EG11980	P37746	polyisoprenol-linked O16-antigen repeat unit flippase	Wzx, WzxB, RfbX
MONOMER-16479	G-12746	A3DBC8	&alpha;-L-arabinofuranosidase B	
MONOMER-13986	G-10679			NapH
AT3G11430-MONOMER	AT3G11430	Q9CAY3	<i>sn</i>-2-acylglycerol-3-phosphate O-acyltransferase	
MONOMER-19106	G-43839	Q9KT46		
MONOMER-17006	G-14826	Q6T1W7	dTDP-3-amino-3,6-dideoxy-&alpha;-D-galactopyranose 3-<i>N</i>-acetyltransferase	FdtC
EG12030-MONOMER	EG12030	P33022	pyrimidine-specific ribonucleoside hydrolase RihB	YeiK, RihB, ribonucleoside hydrolase 2 (pyrimidine-specific)
MONOMER-21522	G-81043	B8QSJ9	dTDP-L-rhamnose:&alpha;-D-GlcNAc-(1&rarr;4)-&beta;-D-Gal-(1&rarr;3)-GalNAc-PP-Und &alpha;-(1,4)-rhamnosyltransferase	WclX
MONOMER-19483	G-44188	Q5V8A8	<i>N</i>-methyl-L-valyl-L-tryptophanol synthase	LtxA
MONOMER-1094	G-666	Q9SUI4	Photosystem I reaction center subunit XI	PSI subunit V, PSI-L
G3O-33772-MONOMER	G3O-33772	Q08742	thiosulfate&mdash;thiol sulfurtransferase	
FBAASYN-MONOMER	G-402	Q55664	class II fructose-bisphosphate aldolase/sedoheptulose-1,7-bisphosphate aldolase monomer	FbaA, fructose-bisphosphate aldolase, class II, sedoheptulose-1,7-bisphosphate aldolase, class II
TKTASYN-MONOMER	G-404		transketolase	TktA, glycoaldehydetransferase
MONOMER-2861	G-2004	Q46979	subunit of 5-carboxymethyl-2-hydroxymuconic semialdehyde dehydrogenase	HpcC, HpaE
MONOMER-14471	G-11046	Q9CFW8	dihydroorotate dehydrogenase, catalytic subunit	PydB
MONOMER-11913			phytyl monophosphate kinase	
YJCW-MONOMER	EG11959	P32721	D-allose ABC transporter ATP binding subunit	YjcW
MONOMER-17447	G-15215		agroclavine dehydrogenase	EasG
MONOMER-15034	G-11474	Q5IW38	phosphoenolpyruvate phosphomutase	Ppm
MONOMER-19902	G-44604	F9US27	gallate decarboxylase catalytic subunit	LpdC
MONOMER-17885	G-15528	Q9KB30	reducing end xylose-releasing exo-oligoxylanase	Rex
G7686-MONOMER	G7686	P46482	aromatic carboxylic acid efflux pump membrane fusion protein	AaeA, YhcQ
G1G01-4405-MONOMER	G1G01-4405	Q88FF8	quinone reductase	ChrR
AT5G34850-MONOMER	AT5G34850		purple acid phosphatase	
MONOMER-5149	G-5703			
MONOMER-20305	G-55190	F9UST0	pyridinium-3,5-biscarboxylic acid mononucleotide synthase	LarB
MONOMER-12486	G-9588	Q6TW99		galactan:galactan galactosyltransferase
HS00531-MONOMER	HS00531	Q9NZL9	Methionine adenosyltransferase 2 subunit beta	DTDP-4-keto-6-deoxy-D-glucose 4-reductase, MAT II beta, Methionine adenosyltransferase 2 beta subunit, Methionine adenosyltransferase II beta
MONOMER-8181			<i>N</i><sup>6</sup>-acetyllysine aminotransferase subunit	
MONOMER-15579	G-11955	P32461	diphthamide biosynthesis protein 2	diphtheria toxin resistance protein 2
MONOMER-13036	G-15936	A0A0H3FN91	<i>myo</i>-inosose-2 dehydratase	IolE, ketoinositol dehydratase
MONOMER-183	G-483	Q55054	urease &beta; subunit	UreB
MONOMER-16007	G-12316	P09785	PhnA anthranilate synthase subunit	PhnA, PhnA anthranilate synthase component I, Anthranilate synthase component 1
BSU35700-MONOMER	BSU35700	P42954	teichoic acid  ABC transporter ATP-binding protein	TagH
AT1G08550-MONOMER	AT1G08550	Q39249	violaxanthin deepoxidase subunit	
MONOMER-20716	G-58862	B4ER96	spectinabilin polyketide synthase NorB protein	NorB
MONOMER-18697	G-27171	C0STU2	<i>L</i>-&alpha;-amino acid ligase	RhiC
HS05598-MONOMER	HS05598	Q13085	acetyl-CoA carboxylase 1	ACC-ALPHA
EG10530-MONOMER	EG10530	P00803	signal peptidase I	Lep, LepB, LP1, SPase I, leader peptidase (signal peptidase I)
MONOMER3O-4	G3O-2	P43616		
MONOMER-21137	G-80653	Q9V1A7	molybdopterin tungstentransferase	
MONOMER-13468	G-10255	A5N3I5	acetyl-CoA acetyltransferase	
HS10846-MONOMER	HS10846	Q9BVG9	phosphatidylserine synthase 2	phosphatidylserine synthase II, Serine-exchange enzyme II
PYRUFLAVREDUCT-MONOMER				
MONOMER-16463	G-12730	P72321	CooJ	
MONOMER-13967	G-10664	Q0PCF5	3&prime;&prime;-deamino-3&prime;&prime;-oxonicotianamine reductase	
AT3G06510-MONOMER	AT3G06510	Q93Y07	galactolipid:galactolipid galactosyltransferase	GGGT
MONOMER-19081	G-43814	Q8GJ88	GDP-6-deoxy-4-keto-D-<i>lyxo</i>-heptose 4-reductase subunit	DmhB
MONOMER-16989	G-14807	E4WCW6	3-oxo-23,24-bisnorchol-4-en-22-oyl-CoA dehydrogenase &beta; subunit	
EG11919-MONOMER	EG11919	P0AF43	putative inorganic phosphate export protein YjbB	YjbB
MONOMER-21506	G-81027		3-sulfolactate exporter	SftE
MONOMER-19465	G-44173		4-hydroxy-4-methyl-2-oxoglutarate aldolase	TasA
MONOMER-10861			MIPS subunit	
G3O-33092-MONOMER	G3O-33092	P41814	tRNA (adenine<sup>58</sup>-<i>N</i><sup>1</sup>)-methyltransferase  subunit TRM6	general control non-derepressible protein 10, tRNA(m1A58)-methyltransferase subunit TRM6, tRNA (adenine<sup>58</sup>-<i>N</i><sup>1</sup>)-methyltransferase non-catalytic subunit, General Control Derepressed
ENTC-MONOMER	EG10261	P0AEJ2	isochorismate synthase EntC	FepF, EntC, isochorismate synthase, enterobactin-specific, isochorismate synthase 1
THIF-MONOMER	EG11587	P30138	sulfur carrier protein ThiS adenylyltransferase	ThiA, ThiF, thiamine (thiazole moiety) biosynthesis protein
MONOMER-2746	G-1943	P11175		LacG, 6-phospho-&beta;-D-galactosidase
MONOMER-14451	G-11027	A8CDT2		&beta;-amyrin synthase
MONOMER-11896	G-9232	Q8F4E6	isopropylmalate isomerase large subunit	LeuC
YIL066C-MONOMER	YIL066C	P21672	ribonucleoside-diphosphate reductase, large subunit R3	
MONOMER-17431			UDPG:<i>o</i>-dihydroxycoumarin 7-<i>O</i>-glucosyltransferase	
MONOMER-15013	G-11457	Q3L7F5	octaketide synthase	
MONOMER-19884	G-44587	Q2YIQ1	erythritol kinase (D-erythritol 1-phosphate-forming)	EryA
MONOMER-17864	G-15507	E3W9M3	anthocyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)	
G7602-MONOMER	G7602	P64578	ribosome-dependent mRNA interferase toxin HigB	YgjN, HigB, translation-dependent mRNA interferase, toxin of the HigB-HigA toxin-antitoxin system
G1G01-4213-MONOMER	G1G01-4213	Q88FX8	nicotinate hydroxylase large subunit	NdhL, NicB
AT5G23960-MONOMER	AT5G23960	Q84UU4	(-)-&beta;-caryophyllene synthase	
MONOMER-5102				
MONOMER-20284	G-55170	O77206	dinoflagellate luciferase	
MONOMER-12461	G-9571	Q9LA72	adenylylsulfate:phosphate adenylyltransferase subunit	Apt
HS00361-MONOMER	HS00361	P40925	malate dehydrogenase subunit	
MONOMER-811	G-531		AT5G38430	
MONOMER-15560	G-11935	P54767		glutamate decarboxylase
MONOMER-13017	G-9917	Q8RQQ0	4-nitrophenol 2-monooxygenase oxygenase component	4-nitrophenol hydroxylase component A
MONOMER-18282	G-17786	D0UZK7	flavonol synthase/flavanone 3-dioxygenase	
MONOMER-15989	G-12299	Q44571		AceC
BSU35060-MONOMER	BSU35060	O34926	pulcherriminic acid synthase	CypX, CYP134A1, cyclo-<i>L</i>-leucyl-<i>L</i>-leucyl dipeptide oxidase
AT1G03630-MONOMER	AT1G03630	O48741	protochlorophyllide oxidoreductase C	PORC
MONOMER-20700	G-58846	F2RB79		CmlB
MONOMER-18678	G-27151	A2R6Y6		XhrA
HS05461-MONOMER	HS05461	P37058	testosterone 17&beta;-dehydrogenase 3	17-beta-HSD 3, testicular 17-beta-hydroxysteroid dehydrogenase
EG10454-MONOMER	EG10454	P07649	tRNA pseudouridine<sup>38-40</sup> synthase	LeuK, HisT, AsuC, TruA
MONOMER3O-285	YIL083C	P40506	phosphopantothenate-cysteine ligase (ATP)	
MONOMER-21121	G-80636	Q9YA60	anhydromevalonate phosphate decarboxylase	
MONOMER-13452				
HS10587-MONOMER	HS10587	Q6IA69	Glutamine-dependent NAD(+) synthetase	NAD(+) synthase [glutamine-hydrolyzing], NAD(+) synthetase 1
PTACLOS-MONOMER	G-102	P71103	phosphate acetyltransferase	Pta
MONOMER-16446	G-12715	P72319	CooU subunit	CooU
MONOMER-13950	G-10652	Q02189		PebA
AT3G02870-MONOMER	AT3G02870	Q9M8S8	L-galactose-1-phosphate phosphatase//inositol or phosphatidylinositol phosphatase	
MONOMER-19064	G-43805			
MONOMER-16962	G-14782	Q0S808	3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione 4-hydroxylase reductase component	HsaB
EG11843-MONOMER	EG11843	P32138	sulfoquinovosidase	SquQ, YihQ
MONOMER-21490	G-81011		GDP-mannose:&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GlcNAc-PP-Und &alpha;-(1&rarr;4)-mannosyltransferase WbbC	WbbC
MONOMER-19449	G-44157	I1RF60	nor-rubrofusarin <i>O</i>-methyltransferase	AurJ
MONOMER-10741			DMAPP:isoflavone dimethylallyl transferase	
G3O-32702-MONOMER	G3O-32702	P25297	phosphate transporter phoT	
ENSG00000175198-MONOMER	HS10893	P05165	propionyl-CoA carboxylase &alpha; chain, mitochondrial	PCCase subunit alpha, propanoyl-CoA:carbon dioxide ligase subunit alpha
SYNPCC7942_2537-MONOMER	SYNPCC7942_2537	Q9L4P3	ClpP3	
MONOMER-2601	ABA2	Q96375	zeaxanthin epoxidase	xanthophyll epoxidase
MONOMER-14431	G-11010	Q9QZU7	&gamma;-butyrobetaine hydroxylase subunit	
MONOMER-11856			aconitase	
YHR137W-MONOMER	YHR137W	P38840	aromatic amino acid aminotransferase II	
MONOMER-17415	G-15190	Q6LS56	icosapentaenoate synthase PfaB subunit	PfaB, omega-3 polyunsaturated fatty acid synthase PfaB, eicosapentaenoate synthase PfaB subunit
